num,fichier_origine,nouveau_fichier,article_slug,type,role,alt
1,1.png,hero-chien-anxieux-comprendre-apaiser.png,chien-anxieux-comprendre-apaiser,PILIER,hero,"Portrait rapproché d'un chien au regard inquiet, oreilles légèrement en arrière et front plissé, dans un intérieur chaleureux."
2,2.png,chien-anxieux-comprendre-apaiser-2.png,chien-anxieux-comprendre-apaiser,PILIER,secondaire,"Chien de profil posté devant une fenêtre, corps tendu et attentif, observant l'extérieur dans une lumière de fin d'après-midi."
3,3.png,chien-anxieux-comprendre-apaiser-3.png,chien-anxieux-comprendre-apaiser,PILIER,secondaire,"Maître accroupi à côté de son chien couché et détendu sur un tapis, échange de regards apaisé, lumière douce."
4,4.png,hero-signes-chien-anxieux.png,signes-chien-anxieux,SAT01,hero,"Gros plan sur la tête d'un chien qui se lèche les babines, oreilles légèrement en arrière, dans un salon."
5,5.png,signes-chien-anxieux-2.png,signes-chien-anxieux,SAT01,secondaire,"Chien couché mais tête levée et regard alerte vers la porte, dans un intérieur calme, incapable de se détendre pleinement."
6,6.png,hero-anxiete-situationnelle-vs-generalisee.png,anxiete-situationnelle-vs-generalisee,SAT02,hero,"Chien réfugié sous un meuble pendant un orage, corps ramassé, lueur de pluie derrière la fenêtre."
7,7.png,anxiete-situationnelle-vs-generalisee-2.png,anxiete-situationnelle-vs-generalisee,SAT02,secondaire,"Chien profondément endormi sur le dos, pattes relâchées, abandon total sur un canapé baigné de lumière."
8,8.png,hero-chien-hypervigilant.png,chien-hypervigilant,SAT03,hero,"Chien assis bien droit devant une grande fenêtre, oreilles dressées et regard fixe vers la rue, silhouette en contre-jour."
9,9.png,chien-hypervigilant-2.png,chien-hypervigilant,SAT03,secondaire,"Chien couché sur le flanc, museau posé, yeux mi-clos, enfin détendu sur un couchage moelleux dans un coin abrité de la pièce."
10,10.png,hero-chien-hypersensible.png,chien-hypersensible,SAT04,hero,"Chien qui se recroqueville légèrement au passage rapproché d'un vélo en ville, oreilles plaquées, sur un trottoir animé."
11,11.png,chien-hypersensible-2.png,chien-hypersensible,SAT04,secondaire,"Chien apaisé dans un coin cosy à l'écart, lumière tamisée, museau posé sur un coussin, ambiance feutrée."
12,12.png,hero-causes-anxiete-chien.png,causes-anxiete-chien,SAT05,hero,"Portée de chiots explorant un environnement varié et sécurisant, avec leur mère attentive à proximité."
13,13.png,causes-anxiete-chien-2.png,causes-anxiete-chien,SAT05,secondaire,"Chien adulte serein en balade dans un environnement varié et calme, en laisse détendue aux côtés de son maître."
14,14.png,hero-chien-anxieux-quand-consulter.png,chien-anxieux-quand-consulter,SAT06,hero,"Main posée avec douceur sur un chien lors d'une consultation, vétérinaire attentif en arrière-plan, ambiance rassurante."
15,15.png,chien-anxieux-quand-consulter-2.png,chien-anxieux-quand-consulter,SAT06,secondaire,"Chien attentif assis face à un professionnel qui prend des notes, dans un cabinet calme et lumineux, maître à côté."
16,16.png,hero-amenager-vie-chien-anxieux.png,amenager-vie-chien-anxieux,SAT07,hero,"Chien installé dans un coin refuge cosy et abrité, couchage moelleux dans un angle calme de la maison, lumière douce."
17,17.png,amenager-vie-chien-anxieux-2.png,amenager-vie-chien-anxieux,SAT07,secondaire,"Chien concentré sur une activité de flair au sol dans un jardin calme, museau au travail, posture détendue et absorbée."
18,18.png,hero-chien-anxieux-adopte.png,chien-anxieux-adopte,SAT08,hero,"Chien réservé observant à distance depuis un coin de la pièce, corps un peu bas, dans un intérieur neuf et calme."
19,19.png,chien-anxieux-adopte-2.png,chien-anxieux-adopte,SAT08,secondaire,"Chien adopté qui vient spontanément poser sa tête sur le genou de son adoptant assis au sol, moment de confiance naissante."
20,20.png,hero-erreurs-chien-anxieux.png,erreurs-chien-anxieux,SAT09,hero,"Personne accroupie qui tend calmement la main vers un chien hésitant, sans le forcer, dans une posture patiente et ouverte."
21,21.png,erreurs-chien-anxieux-2.png,erreurs-chien-anxieux,SAT09,secondaire,"Chien détendu à côté de son maître serein qui lit tranquillement, ambiance calme et posée dans un salon lumineux."
22,22.png,hero-anxiete-chien-races-predispositions.png,anxiete-chien-races-predispositions,SAT10,hero,"Plusieurs chiens de races et de gabarits différents côte à côte, attitudes variées, dans un parc ensoleillé."
23,23.png,anxiete-chien-races-predispositions-2.png,anxiete-chien-races-predispositions,SAT10,secondaire,"Chien de race sensible réputée, pourtant parfaitement détendu et épanoui, allongé au soleil dans un jardin paisible."
24,24.png,hero-anxiete-chien-alimentation.png,anxiete-chien-alimentation,SAT11,hero,"Gamelle de nourriture posée au sol près d'un chien calme qui s'apprête à manger, cuisine lumineuse et paisible."
25,25.png,anxiete-chien-alimentation-2.png,anxiete-chien-alimentation,SAT11,secondaire,"Chien qui cherche des croquettes dispersées dans l'herbe, museau au sol, activité alimentaire ludique et calme."
26,26.png,hero-suivre-progres-chien-anxieux.png,suivre-progres-chien-anxieux,SAT12,hero,"Carnet et stylo posés près d'un chien apaisé au repos, ambiance calme, main en train de noter quelques mots."
27,27.png,suivre-progres-chien-anxieux-2.png,suivre-progres-chien-anxieux,SAT12,secondaire,"Chien visiblement plus épanoui jouant avec entrain dans un jardin, contraste avec une posture autrefois craintive, lumière joyeuse."
